,SiO2_n,SiO2_k,SiO2_w,SiO2_wk
0,1.623896,0.041149,245.89743,245.89742999999999
1,1.622251,0.039276,247.487381,247.487381
2,1.620641,0.037511,249.077316,249.07731600000002
3,1.619066,0.035845999999999996,250.667236,250.66723599999997
4,1.617522,0.034275,252.25717200000003,252.25717200000003
5,1.616011,0.03279,253.847092,253.847092
6,1.61453,0.031388,255.437012,255.437012
7,1.6130799999999998,0.030061,257.026917,257.02691699999997
8,1.611658,0.028807,258.616821,258.616821
9,1.610266,0.027618,260.206726,260.206726
10,1.608901,0.026493,261.7966,261.7966
11,1.607563,0.025426,263.386505,263.386505
12,1.606251,0.024413999999999998,264.976379,264.976379
13,1.604965,0.023453,266.566223,266.566223
14,1.603703,0.022542,268.156067,268.156067
15,1.602466,0.021675,269.745911,269.745911
16,1.601253,0.020852000000000002,271.335754,271.335754
17,1.600062,0.020069,272.925598,272.925598
18,1.598894,0.019324,274.515411,274.515411
19,1.597748,0.018615,276.105194,276.105194
20,1.596624,0.017939,277.695007,277.695007
21,1.59552,0.017294999999999998,279.28476,279.28476
22,1.594436,0.016681,280.874542,280.874542
23,1.593372,0.016096,282.464294,282.464294
24,1.592327,0.015537,284.054016,284.054016
25,1.591302,0.015004,285.643738,285.643738
26,1.590294,0.014494,287.233459,287.233459
27,1.589305,0.014008000000000001,288.8231810000001,288.82318100000003
28,1.588333,0.013541999999999998,290.412842,290.412842
29,1.587378,0.013097,292.002502,292.002502
30,1.58644,0.012671,293.592163,293.59216299999997
31,1.585518,0.012264,295.181824,295.181824
32,1.584612,0.011873,296.771423,296.77142299999997
33,1.583722,0.011498999999999999,298.361023,298.361023
34,1.582846,0.011141,299.950623,299.950623
35,1.581986,0.010797,301.540192,301.540192
36,1.58114,0.010467,303.12973,303.12973
37,1.580308,0.010151,304.719269,304.719269
38,1.57949,0.009848,306.308777,306.308777
39,1.578686,0.009556,307.898285,307.898285
40,1.577895,0.009276000000000001,309.4877620000001,309.48776200000003
41,1.577117,0.009007,311.077209,311.077209
42,1.576351,0.008748,312.666656,312.666656
43,1.575598,0.0085,314.256073,314.256073
44,1.574857,0.00826,315.845459,315.845459
45,1.574128,0.008029999999999999,317.434845,317.434845
46,1.573411,0.007809,319.0242,319.0242
47,1.572705,0.007595,320.613525,320.613525
48,1.57201,0.007390000000000002,322.2028200000001,322.20282000000003
49,1.571326,0.007192000000000001,323.792114,323.792114
50,1.570652,0.007001,325.381409,325.38140899999996
51,1.56999,0.006817,326.970642,326.970642
52,1.569337,0.006640000000000001,328.559845,328.559845
53,1.568694,0.006468000000000001,330.149017,330.149017
54,1.568061,0.0063030000000000004,331.73822,331.73822
55,1.567438,0.006144,333.327332,333.32733199999996
56,1.566824,0.00599,334.916443,334.916443
57,1.566219,0.005841,336.505554,336.505554
58,1.565623,0.005697,338.094604,338.094604
59,1.565037,0.005559000000000001,339.683655,339.683655
60,1.564458,0.005424,341.272644,341.272644
61,1.563889,0.005295,342.861633,342.861633
62,1.563328,0.005169,344.450623,344.450623
63,1.562774,0.0050479999999999995,346.0395200000001,346.03952000000004
64,1.562229,0.0049299999999999995,347.628418,347.628418
65,1.561692,0.004817,349.2173160000001,349.21731600000004
66,1.5611620000000002,0.004706,350.806152,350.806152
67,1.56064,0.0046,352.3949580000001,352.39495800000003
68,1.560126,0.004497,353.983734,353.98373399999997
69,1.559619,0.004396,355.572479,355.572479
70,1.559118,0.004299,357.161194,357.16119399999997
71,1.558625,0.0042049999999999995,358.749908,358.749908
72,1.558139,0.0041140000000000005,360.338562,360.338562
73,1.557659,0.004026,361.927185,361.927185
74,1.557186,0.00394,363.515778,363.51577799999995
75,1.55672,0.003857,365.10434,365.10434
76,1.55626,0.003776,366.692871,366.69287099999997
77,1.555806,0.003698,368.281372,368.28137200000003
78,1.555358,0.003622,369.869812,369.869812
79,1.554917,0.003547999999999999,371.458252,371.458252
80,1.554481,0.003476,373.046631,373.046631
81,1.554051,0.003406,374.63501,374.63501
82,1.553627,0.003339,376.223328,376.223328
83,1.553208,0.003273,377.811615,377.811615
84,1.552795,0.0032090000000000005,379.399841,379.39984100000004
85,1.552388,0.003147,380.988098,380.988098
86,1.551985,0.0030859999999999998,382.576233,382.576233
87,1.551588,0.0030269999999999997,384.164398,384.164398
88,1.551196,0.00297,385.752502,385.752502
89,1.550809,0.002914,387.340546,387.340546
90,1.550427,0.00286,388.928589,388.928589
91,1.55005,0.002807,390.516571,390.516571
92,1.549678,0.0027559999999999998,392.104523,392.104523
93,1.54931,0.002706,393.692444,393.69244399999997
94,1.548947,0.002657,395.280304,395.280304
95,1.548589,0.0026089999999999998,396.868134,396.868134
96,1.548235,0.0025629999999999997,398.455902,398.455902
97,1.547886,0.002518,400.043671,400.043671
